region_key,median_income
anderson_kentucky,71747
ballard_kentucky,64740
barren_kentucky,49171
bath_kentucky,54128
bell_kentucky,32403
boone_kentucky,94752
bourbon_kentucky,56322
boyd_kentucky,60659
boyle_kentucky,61635
bracken_kentucky,59521
breathitt_kentucky,41101
breckinridge_kentucky,53673
bullitt_kentucky,77640
butler_kentucky,52003
caldwell_kentucky,57618
calloway_kentucky,51854
campbell_kentucky,77271
carlisle_kentucky,62019
carroll_kentucky,57753
carter_kentucky,50389
casey_kentucky,41689
christian_kentucky,54190
clark_kentucky,67824
clay_kentucky,39607
clinton_kentucky,42168
crittenden_kentucky,47003
cumberland_kentucky,39662
daviess_kentucky,65323
edmonson_kentucky,54512
elliott_kentucky,40074
estill_kentucky,43905
fayette_kentucky,67631
fleming_kentucky,49663
floyd_kentucky,41582
franklin_kentucky,66470
fulton_kentucky,36834
gallatin_kentucky,62247
garrard_kentucky,62572
grant_kentucky,67940
graves_kentucky,50576
grayson_kentucky,49893
green_kentucky,41087
greenup_kentucky,59613
hancock_kentucky,66836
hardin_kentucky,67608
harlan_kentucky,37198
harrison_kentucky,63205
hart_kentucky,49653
henderson_kentucky,58239
henry_kentucky,60736
hickman_kentucky,63750
hopkins_kentucky,57610
jackson_kentucky,41410
jefferson_kentucky,67849
jessamine_kentucky,74886
johnson_kentucky,43014
kenton_kentucky,79421
knott_kentucky,37736
knox_kentucky,33153
larue_kentucky,67770
laurel_kentucky,56999
lawrence_kentucky,45584
lee_kentucky,34182
leslie_kentucky,40176
letcher_kentucky,40501
lewis_kentucky,41632
lincoln_kentucky,50862
livingston_kentucky,59713
logan_kentucky,61535
lyon_kentucky,64464
mccracken_kentucky,62385
mccreary_kentucky,37355
mclean_kentucky,70549
madison_kentucky,62407
magoffin_kentucky,33632
marion_kentucky,55404
marshall_kentucky,63611
martin_kentucky,46185
mason_kentucky,51473
meade_kentucky,70163
menifee_kentucky,44672
mercer_kentucky,63115
metcalfe_kentucky,48572
monroe_kentucky,49430
montgomery_kentucky,57468
morgan_kentucky,47493
muhlenberg_kentucky,52672
nelson_kentucky,67888
nicholas_kentucky,53616
ohio_kentucky,54369
oldham_kentucky,121491
owen_kentucky,59706
owsley_kentucky,31064
pendleton_kentucky,66601
perry_kentucky,45261
pike_kentucky,42179
powell_kentucky,39811
